127.0.0.1 - - [08/Oct/2016:11:21:21 +0200] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:38 +0200] "GET /SurveyTool/ HTTP/1.1" 200 11131
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:38 +0200] "GET /SurveyTool/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:38 +0200] "GET /SurveyTool/css/bootstrap-accessibility.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:38 +0200] "GET /SurveyTool/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:39 +0200] "GET /SurveyTool/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:39 +0200] "GET /SurveyTool/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:39 +0200] "GET /SurveyTool/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:39 +0200] "GET /SurveyTool/js/bootbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:39 +0200] "GET /SurveyTool/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:39 +0200] "GET /SurveyTool/js/bootstrap-accessibility.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:39 +0200] "GET /SurveyTool/js/stinterface.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:39 +0200] "GET /SurveyTool/js/stcheckforms.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:40 +0200] "GET /SurveyTool/img/p4aicon.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:40 +0200] "GET /SurveyTool/img/euroflag.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:40 +0200] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:30:41 +0200] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:32:33 +0200] "POST /SurveyTool/LoginServlet HTTP/1.1" 200 6943
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:32:33 +0200] "GET /SurveyTool/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:32:33 +0200] "GET /SurveyTool/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:32:41 +0200] "GET /SurveyTool/UserPanelHomeServlet?upoption=surveys HTTP/1.1" 200 24164
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:32:41 +0200] "GET /SurveyTool/js/dataTables.en.lang HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:34:58 +0200] "GET /SurveyTool/css/controlesReproYoutubeAcc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:34:58 +0200] "GET /SurveyTool/js/editsurvey.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:34:58 +0200] "GET /SurveyTool/js/editsurvey-dependences.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:34:58 +0200] "GET /SurveyTool/js/controlesAccesiblesYoutubeIframes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:34:58 +0200] "GET /SurveyTool/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:35:00 +0200] "GET /SurveyTool/SurveysServlet?surveyid=3 HTTP/1.1" 200 177318
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:35:01 +0200] "GET /SurveyTool/surveyajs?sid=bsffqfrvf5&langsurvey=en HTTP/1.1" 200 12007
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:35:01 +0200] "GET /SurveyTool/css/survey.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:35:02 +0200] "GET /SurveyTool/js/angular/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:35:02 +0200] "GET /SurveyTool/js/angular/angular-sanitize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:35:02 +0200] "GET /SurveyTool/js/angular-ui-router/release/angular-ui-router.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:35:02 +0200] "GET /SurveyTool/ng/controllers/surveyController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:35:02 +0200] "GET /SurveyTool/ng/service/surveyService.js HTTP/1.1" 304 -
